patrimonio;Descricao;dataBaixa;vidaUtil;valorBruto;depreciacao;valorLiquido
18907;FAC-SÍMILE ELETRÔNICO;17/12/2019;23;789;510,22;278,78
18908;FAC-SÍMILE ELETRÔNICO;11/05/2017;0;789;341,9;447,1
18910;FAC-SÍMILE ELETRÔNICO;17/12/2019;23;789;510,22;278,78
18912;FAC-SÍMILE ELETRÔNICO;17/12/2019;23;789;510,22;278,78
19143;FAC SIMILE DIGITAL;17/12/2019;29;789;478,66;310,34
19144;FAC SIMILE DIGITAL;17/12/2019;29;789;478,66;310,34
19145;FAC SIMILE DIGITAL;17/12/2019;29;789;478,66;310,34
19146;FAC SIMILE DIGITAL;17/12/2019;29;789;478,66;310,34
19147;FAC SIMILE DIGITAL;17/12/2019;29;789;478,66;310,34
19170;MESA OPERADORA PARA TELEFONISTA;17/12/2019;29;1311;795,34;515,66
19171;MESA OPERADORA PARA TELEFONISTA;17/12/2019;29;1311;795,34;515,66
20215;FAC-SÍMILE ELETRÔNICO;17/12/2019;33;789;457,62;331,38
20217;FAC-SÍMILE ELETRÔNICO;11/05/2017;0;789;289,3;499,7
20237;APARELHO TELEFONICO SIMPLES COM TECLADO;09/01/2019;45;40;20,08;19,92
20238;APARELHO TELEFONICO SIMPLES COM TECLADO;09/01/2019;45;40;20,08;19,92
20239;APARELHO TELEFONICO SIMPLES COM TECLADO;09/01/2019;45;40;20,08;19,92
20240;APARELHO TELEFONICO SIMPLES COM TECLADO;09/01/2019;45;40;20,08;19,92
20241;APARELHO TELEFONICO SIMPLES COM TECLADO;09/01/2019;45;40;20,08;19,92
20244;APARELHO TELEFONICO SIMPLES COM TECLADO;09/01/2019;45;40;20,08;19,92
20246;APARELHO TELEFONICO SIMPLES COM TECLADO;09/01/2019;45;40;20,08;19,92
20247;APARELHO TELEFONICO SIMPLES COM TECLADO;09/01/2019;45;40;20,08;19,92
20250;APARELHO TELEFONICO SIMPLES COM TECLADO;09/01/2019;45;40;20,08;19,92
20255;APARELHO TELEFONICO SIMPLES COM TECLADO;17/12/2019;34;40;22,99;17,01
20275;APARELHO TELEFONICO KS COM TECLADO;17/12/2019;34;1058;606,53;451,47
20278;APARELHO TELEFONICO KS COM TECLADO;17/12/2019;34;1058;606,53;451,47
20279;APARELHO TELEFONICO KS COM TECLADO;17/12/2019;34;1058;606,53;451,47
20282;APARELHO TELEFONICO KS COM TECLADO;17/12/2019;34;1058;606,53;451,47
20289;APARELHO TELEFONICO KS COM TECLADO;17/12/2019;34;1058;606,53;451,47
20296;APARELHO TELEFONICO KS COM TECLADO;17/12/2019;34;1058;606,53;451,47
20299;APARELHO TELEFONICO KS COM TECLADO;17/12/2019;34;1058;606,53;451,47
20309;APARELHO TELEFONICO KS COM TECLADO;17/12/2019;34;1058;606,53;451,47
20500;REPETIDORA DE SINAL;09/01/2019;49;2283;1080,62;1202,38
20501;ANTENA EXTERNA;09/01/2019;49;448;212,14;235,86
20502;ANTENA INTERNA;09/01/2019;49;168;79,52;88,48
20503;ANTENA INTERNA;09/01/2019;49;168;79,52;88,48
